%missing,AUC,Accuracy,F1-score,classifier,w_unlabelled
0.9,0.880347008675,0.88,0.887323943662,hardb_mlp,0.5
0.9,0.766356658916,0.7675,0.697068403909,clsdep_mlp,0.5
0.9,0.658291457286,0.66,0.480916030534,mlp,0.6
0.9,0.867884197105,0.8675,0.876456876457,hardb_mlp,0.6
0.9,0.788944723618,0.79,0.732484076433,clsdep_mlp,0.6
0.9,0.673366834171,0.675,0.514925373134,mlp,0.7
0.9,0.845671141779,0.845,0.862831858407,hardb_mlp,0.7
0.9,0.643216080402,0.645,0.4453125,clsdep_mlp,0.7
0.9,0.650753768844,0.6525,0.46332046332,mlp,0.8
0.9,0.907810195255,0.9075,0.912529550827,hardb_mlp,0.8
0.9,0.633165829146,0.635,0.420634920635,clsdep_mlp,0.8
0.9,0.630653266332,0.6325,0.414342629482,mlp,0.9
0.9,0.860446511163,0.86,0.870967741935,hardb_mlp,0.9
0.9,0.643216080402,0.645,0.4453125,clsdep_mlp,0.9
0.9,0.623115577889,0.625,0.395161290323,mlp,1.0
0.9,0.877859446486,0.8775,0.885245901639,hardb_mlp,1.0
0.9,0.618090452261,0.62,0.382113821138,clsdep_mlp,1.0
0.7,0.895447386185,0.895,0.903225806452,mlp,0.1
0.7,0.793482337058,0.7925,0.825995807128,hardb_mlp,0.1
0.7,0.798432460812,0.7975,0.828752642706,clsdep_mlp,0.1
0.7,0.950048751219,0.95,0.950248756219,mlp,0.2
0.7,0.798457461437,0.7975,0.829473684211,hardb_mlp,0.2
0.7,0.870396759919,0.87,0.879069767442,clsdep_mlp,0.2
0.7,0.855196379909,0.855,0.859903381643,mlp,0.3
0.7,0.835695892397,0.835,0.854625550661,hardb_mlp,0.3
0.7,0.870396759919,0.87,0.879069767442,clsdep_mlp,0.3
0.7,0.945048626216,0.945,0.945273631841,mlp,0.4
0.7,0.945023625591,0.945,0.945,hardb_mlp,0.4
0.7,0.957511437786,0.9575,0.957393483709,clsdep_mlp,0.4
0.7,0.844746118653,0.845,0.835978835979,mlp,0.5
0.7,0.865421635541,0.865,0.875,hardb_mlp,0.5
0.7,0.924948123703,0.925,0.92385786802,clsdep_mlp,0.5
0.7,0.937285932148,0.9375,0.9343832021,mlp,0.6
0.7,0.952536313408,0.9525,0.952618453865,hardb_mlp,0.6
0.7,0.827033175829,0.8275,0.808864265928,clsdep_mlp,0.6
0.7,0.796607415185,0.7975,0.752293577982,mlp,0.7
0.7,0.81577039426,0.815,0.839130434783,hardb_mlp,0.7
0.7,0.814445361134,0.815,0.790960451977,clsdep_mlp,0.7
0.7,0.794044851121,0.795,0.745341614907,mlp,0.8
0.7,0.892909822746,0.8925,0.900232018561,hardb_mlp,0.8
0.7,0.884522113053,0.885,0.872222222222,clsdep_mlp,0.8
0.7,0.75630640766,0.7575,0.679867986799,mlp,0.9
0.7,0.820820520513,0.82,0.844827586207,hardb_mlp,0.9
0.7,0.766356658916,0.7675,0.697068403909,clsdep_mlp,0.9
0.7,0.786432160804,0.7875,0.728434504792,mlp,1.0
0.7,0.917785444636,0.9175,0.9216152019,hardb_mlp,1.0
0.7,0.741206030151,0.7425,0.650847457627,clsdep_mlp,1.0
%missing,AUC,Accuracy,F1-score,classifier,w_unlabelled
0.0,0.872435191673,0.87,0.876777251185,mlp,0.1
0.0,0.867305575018,0.8675,0.863049095607,hardb_mlp,0.1
0.0,0.806450805725,0.8025,0.821670428894,clsdep_mlp,0.1
0.0,0.952232008808,0.9525,0.950649350649,mlp,0.2
0.0,0.855795215694,0.8575,0.844686648501,hardb_mlp,0.2
0.0,0.949504554099,0.95,0.947643979058,clsdep_mlp,0.2
0.0,0.962391152037,0.9625,0.961240310078,mlp,0.3
0.0,0.87503753378,0.875,0.871794871795,hardb_mlp,0.3
0.0,0.949504554099,0.95,0.947643979058,clsdep_mlp,0.3
0.0,0.952081873686,0.9525,0.950391644909,mlp,0.4
0.0,0.959513562206,0.96,0.958115183246,hardb_mlp,0.4
0.0,0.957236512862,0.9575,0.955844155844,clsdep_mlp,0.4
0.0,0.952232008808,0.9525,0.950649350649,mlp,0.5
0.0,0.885346812131,0.885,0.883248730964,hardb_mlp,0.5
0.0,0.870783705335,0.87,0.87,clsdep_mlp,0.5
0.0,0.954659193274,0.955,0.953125,mlp,0.6
0.0,0.946927234511,0.9475,0.944881889764,hardb_mlp,0.6
0.0,0.946927234511,0.9475,0.944881889764,clsdep_mlp,0.6
0.0,0.863527174457,0.865,0.854054054054,mlp,0.7
0.0,0.951931738565,0.9525,0.950131233596,hardb_mlp,0.7
0.0,0.949504554099,0.95,0.947643979058,clsdep_mlp,0.7
0.0,0.954509058152,0.955,0.952879581152,mlp,0.8
0.0,0.853368031228,0.855,0.842391304348,hardb_mlp,0.8
0.0,0.944349914923,0.945,0.942105263158,clsdep_mlp,0.8
0.0,0.951931738565,0.9525,0.950131233596,mlp,0.9
0.0,0.856095485937,0.8575,0.846361185984,hardb_mlp,0.9
0.0,0.954509058152,0.955,0.952879581152,clsdep_mlp,0.9
0.0,0.942072865579,0.9425,0.939947780679,mlp,1.0
0.0,0.856095485937,0.8575,0.846361185984,hardb_mlp,1.0
0.0,0.85822240016,0.86,0.846994535519,clsdep_mlp,1.0
0.5,0.946927234511,0.9475,0.944881889764,mlp,0.1
0.5,0.87683915524,0.875,0.87922705314,hardb_mlp,0.1
0.5,0.867730957862,0.865,0.87323943662,clsdep_mlp,0.1
0.5,0.944349914923,0.945,0.942105263158,mlp,0.2
0.5,0.863051746572,0.8625,0.861460957179,hardb_mlp,0.2
0.5,0.874411970774,0.8725,0.877108433735,clsdep_mlp,0.2
0.5,0.944349914923,0.945,0.942105263158,mlp,0.3
0.5,0.941772595336,0.9425,0.939313984169,hardb_mlp,0.3
0.5,0.939195275748,0.94,0.936507936508,clsdep_mlp,0.3
0.5,0.85914823341,0.8625,0.840579710145,mlp,0.4
0.5,0.946777099389,0.9475,0.944591029024,hardb_mlp,0.4
0.5,0.848063256931,0.85,0.835164835165,clsdep_mlp,0.4
0.5,0.845485937344,0.8475,0.831955922865,mlp,0.5
0.5,0.944500050045,0.945,0.942408376963,hardb_mlp,0.5
0.5,0.941472325093,0.9425,0.938666666667,clsdep_mlp,0.5
0.5,0.843834451006,0.8475,0.821114369501,mlp,0.6
0.5,0.8712341107,0.87,0.871921182266,hardb_mlp,0.6
0.5,0.853693323992,0.8575,0.83185840708,clsdep_mlp,0.6
0.5,0.879466519868,0.8825,0.865329512894,mlp,0.7
0.5,0.946927234511,0.9475,0.944881889764,hardb_mlp,0.7
0.5,0.856721048944,0.86,0.838150289017,clsdep_mlp,0.7
0.5,0.830347312581,0.835,0.798780487805,mlp,0.8
0.5,0.85079071164,0.8525,0.839237057221,hardb_mlp,0.8
0.5,0.802897607847,0.8075,0.765957446809,clsdep_mlp,0.8
0.5,0.813357021319,0.8175,0.782089552239,mlp,0.9
0.5,0.922955660094,0.9225,0.921518987342,hardb_mlp,0.9
0.5,0.784856370734,0.79,0.739130434783,clsdep_mlp,0.9
0.5,0.825192673406,0.83,0.791411042945,mlp,1.0
0.5,0.944349914923,0.945,0.942105263158,hardb_mlp,1.0
0.5,0.768491642478,0.775,0.703947368421,clsdep_mlp,1.0
0.2,0.804323891502,0.8,0.821428571429,mlp,0.1
0.2,0.861250125113,0.8625,0.85254691689,hardb_mlp,0.1
0.2,0.933415073566,0.9325,0.932668329177,clsdep_mlp,0.1
0.2,0.854719247323,0.855,0.849740932642,mlp,0.2
0.2,0.858672805525,0.86,0.849462365591,hardb_mlp,0.2
0.2,0.93751876689,0.9375,0.935732647815,clsdep_mlp,0.2
0.2,0.862150935842,0.8625,0.857142857143,mlp,0.3
0.2,0.949804824342,0.95,0.948186528497,hardb_mlp,0.3
0.2,0.952081873686,0.9525,0.950391644909,clsdep_mlp,0.3
0.2,0.860649584626,0.8625,0.849315068493,mlp,0.4
0.2,0.949504554099,0.95,0.947643979058,hardb_mlp,0.4
0.2,0.853968571715,0.855,0.845744680851,clsdep_mlp,0.4
0.2,0.865954358923,0.8675,0.856368563686,mlp,0.5
0.2,0.946777099389,0.9475,0.944591029024,hardb_mlp,0.5
0.2,0.855795215694,0.8575,0.844686648501,clsdep_mlp,0.5
0.2,0.944349914923,0.945,0.942105263158,mlp,0.6
0.2,0.944349914923,0.945,0.942105263158,hardb_mlp,0.6
0.2,0.944199779802,0.945,0.941798941799,clsdep_mlp,0.6
0.2,0.85822240016,0.86,0.846994535519,mlp,0.7
0.2,0.860799719748,0.8625,0.850136239782,hardb_mlp,0.7
0.2,0.860649584626,0.8625,0.849315068493,clsdep_mlp,0.7
0.2,0.858072265039,0.86,0.846153846154,mlp,0.8
0.2,0.873536182564,0.875,0.864864864865,hardb_mlp,0.8
0.2,0.86475327795,0.8675,0.849858356941,clsdep_mlp,0.8
0.2,0.882344109699,0.885,0.870056497175,mlp,0.9
0.2,0.951931738565,0.9525,0.950131233596,hardb_mlp,0.9
0.2,0.855494945451,0.8575,0.842975206612,clsdep_mlp,0.9
0.2,0.858072265039,0.86,0.846153846154,mlp,1.0
0.2,0.858522670403,0.86,0.848648648649,hardb_mlp,1.0
